   0       0     256     512     768    1024    1280    1536    1792    2048
   8    0.00   76.00  143.10  207.20  271.40  335.70  399.90  464.00  503.10
  12    0.00   58.40  108.10  161.30  216.70  273.30  331.10  389.60  448.80
  16    0.00   47.60   86.80  128.80  173.10  218.70  265.50  313.30  361.70
  20    0.00   41.70   72.90  107.10  143.40  181.10  220.10  259.80  300.40
  24    0.00   41.40   63.30   91.80  122.30  154.20  187.10  221.00  255.70
  28    0.00   41.30   56.00   80.70  106.70  134.10  162.50  191.70  221.80
  32    0.00   41.20   50.30   72.20   94.80  118.60  143.40  169.10  195.40
  36    0.00   41.20   44.40   65.40   85.40  106.50  128.40  151.20  174.40
  40    0.00   41.10   42.80   60.10   77.90   96.60  116.30  136.70  157.40
