   0     128     160     192     224     256     288     320     352     384     416     448     480     512     544     576     608     640     672     704     736     768     800     832     864     896     928     960     992    1024    1056    1088    1120    1152    1184    1216    1248    1280    1312    1344    1376    1408    1440    1472    1504    1536    1568    1600    1632    1664    1696    1728    1760    1792    1824    1856    1888    1920    1952    1984    2016    2048
   8   59.80   62.00   71.90   82.00   92.10  102.20  112.30  122.60  132.70  143.00  153.30  163.90  174.20  184.50  195.10  205.40  216.00  226.50  237.10  247.70  258.00  268.80  279.40  290.00  300.50  311.10  321.70  332.50  343.00  353.90  364.40  375.00  385.80  396.70  407.20  418.00  428.60  439.40  450.30  460.80  471.70  482.50  493.30  503.90  514.70  525.50  536.40  547.20  558.00  568.80  579.70  590.50  601.30  612.20  623.00  633.80  644.60  655.50  666.30  677.10  687.90
  10   47.50   59.30   60.00   68.40   77.00   85.40   94.00  102.80  111.40  120.30  129.10  138.00  146.80  155.70  164.80  173.90  183.00  191.90  201.30  210.40  219.50  228.60  238.00  247.10  256.50  265.90  275.30  284.40  293.80  303.20  312.60  322.20  331.60  341.00  350.40  360.00  369.40  378.80  388.50  397.90  407.50  417.20  426.60  436.20  445.90  455.30  464.90  474.60  484.20  493.90  503.60  513.20  522.90  532.50  542.20  551.90  561.50  571.20  580.80  590.80  600.40
  12    0.42   48.90   58.90   58.70   65.90   73.10   80.60   88.00   95.40  103.10  110.80  118.50  126.10  133.80  141.80  149.50  157.40  165.40  173.30  181.30  189.50  197.40  205.60  213.60  221.80  230.00  238.30  246.50  254.70  262.90  271.20  279.60  287.90  296.40  304.60  313.10  321.30  329.80  338.30  346.80  355.30  363.80  372.30  380.80  389.30  397.80  406.30  414.80  423.60  432.10  440.60  449.30  457.80  466.60  475.10  483.90  492.40  501.20  509.90  518.40  527.20
  14    0.42    0.42   49.90   58.70   57.50   64.10   70.40   76.90   83.40   90.00   96.50  103.30  110.10  116.90  123.70  130.50  137.60  144.40  151.50  158.50  165.60  172.70  180.00  187.10  194.40  201.50  208.80  216.20  223.50  230.80  238.20  245.50  252.90  260.20  267.80  275.20  282.80  290.10  297.80  305.40  313.00  320.30  328.00  335.60  343.20  350.80  358.40  366.10  374.00  381.60  389.20  397.10  404.70  412.40  420.20  427.90  435.80  443.40  451.30  459.20  466.80
  16    0.42    0.42   43.30   50.60   58.50   56.80   62.50   68.20   73.90   79.80   85.70   91.60   97.60  103.50  109.50  115.60  121.80  128.00  134.20  140.40  146.90  153.10  159.60  165.80  172.30  178.70  185.20  191.70  198.20  204.90  211.40  218.10  224.60  231.30  238.10  244.50  251.30  258.00  264.80  271.50  278.30  285.10  292.10  298.80  305.60  312.60  319.30  326.40  333.10  340.20  347.20  353.90  361.00  368.00  375.00  382.00  389.10  396.10  403.10  410.20  417.20
  18    0.42    0.42    0.42   43.90   51.20   58.30   56.10   61.40   66.50   71.60   77.00   82.10   87.40   92.80   98.30  103.70  109.30  114.60  120.20  125.90  131.50  137.10  143.00  148.60  154.40  160.10  165.90  171.80  177.70  183.60  189.50  195.60  201.50  207.40  213.60  219.50  225.60  231.50  237.70  243.80  250.00  256.10  262.30  268.50  274.60  280.80  287.00  293.40  299.60  305.70  312.20  318.30  324.80  330.90  337.40  343.80  350.00  356.40  362.90  369.30  375.80
  20    0.42    0.42    0.42    0.42   44.20   51.70   58.10   55.60   60.40   65.00   69.70   74.50   79.20   84.00   89.00   93.80   98.80  103.80  108.90  113.90  118.90  124.20  129.30  134.50  139.60  144.90  150.20  155.50  160.80  166.10  171.40  177.00  182.30  187.80  193.10  198.70  204.00  209.60  215.20  220.80  226.30  231.90  237.50  243.10  248.70  254.50  260.10  265.70  271.50  277.10  283.00  288.60  294.40  300.00  305.90  311.70  317.60  323.20  329.00  334.90  340.80
  22    0.42    0.42    0.42    0.42    0.42   45.20   52.30   58.20   63.80   59.60   63.90   68.30   72.50   77.00   81.40   85.90   90.30   94.80   99.30  104.00  108.70  113.20  117.90  122.60  127.30  132.10  137.00  141.80  146.50  151.50  156.20  161.20  166.20  171.20  176.20  181.20  186.20  191.20  196.20  201.20  206.50  211.50  216.50  221.80  226.80  232.10  237.30  242.40  247.60  252.90  258.20  263.50  268.70  274.00  279.30  284.60  289.90  295.20  300.40  306.00  311.30
  24    0.42    0.42    0.42    0.42    0.42    0.42   46.40   52.80   58.00   63.40   58.90   62.80   67.00   70.90   75.00   78.90   83.10   87.20   91.40   95.50   99.70  104.10  108.30  112.70  117.10  121.30  125.70  130.10  134.50  139.00  143.60  148.10  152.50  157.20  161.60  166.30  170.80  175.50  180.20  184.90  189.60  194.30  199.00  203.70  208.40  213.10  217.80  222.50  227.50  232.20  237.20  241.90  246.80  251.60  256.50  261.30  266.20  271.20  276.20  280.90  285.90
